Wall time,Step,Value
1741812794.1424465,1843200,-140.51010131835938
1741812828.670076,1863680,-131.69720458984375
1741812863.2231834,1884160,-132.50108337402344
1741812897.557434,1904640,-136.27476501464844
1741812932.241201,1925120,-135.64500427246094
1741812966.8948247,1945600,-144.32528686523438
1741813001.9451973,1966080,-134.54510498046875
1741813036.9133954,1986560,-132.66839599609375
1741813071.8854547,2007040,-134.4430694580078
1741813106.4212565,2027520,-138.0210418701172
1741813140.7155051,2048000,-142.16453552246094
1741813175.2415009,2068480,-137.7006378173828
1741813210.1663744,2088960,-128.90164184570312
1741813245.3088245,2109440,-131.48007202148438
1741813281.4055316,2129920,-136.80477905273438
1741813318.907418,2150400,-145.65829467773438
1741813354.951426,2170880,-140.05494689941406
1741813391.0188763,2191360,-153.52703857421875
1741813427.0112398,2211840,-140.80860900878906
1741813463.032127,2232320,-145.86012268066406
1741813499.063833,2252800,-146.74954223632812
1741813535.0457947,2273280,-155.21688842773438
1741813571.02077,2293760,-146.6166534423828
1741813607.0400605,2314240,-156.533203125
1741813642.9222999,2334720,-158.93568420410156
1741813678.896728,2355200,-152.91647338867188
1741813714.7335966,2375680,-160.59800720214844
1741813750.4191363,2396160,-155.77781677246094
1741813786.178079,2416640,-152.10430908203125
1741813822.049122,2437120,-146.012939453125
1741813857.872585,2457600,-142.16543579101562
1741813893.4857461,2478080,-113.61467742919922
1741813929.0370412,2498560,-80.8210220336914
1741813964.6923313,2519040,-35.0564079284668
1741814000.1846023,2539520,-30.528718948364258
1741814037.2264583,2560000,-8.542948722839355
1741814072.9187353,2580480,17.444063186645508
1741814108.4188957,2600960,38.58909225463867
1741814144.0182915,2621440,61.59288024902344
1741814179.593232,2641920,80.38357543945312
1741814215.3446736,2662400,93.15227508544922
1741814250.9230542,2682880,108.005126953125
1741814286.4802785,2703360,122.23133850097656
1741814322.126532,2723840,133.01707458496094
1741814357.7229676,2744320,139.17465209960938
1741814393.4930046,2764800,150.59295654296875
1741814429.3129363,2785280,156.7194366455078
1741814465.1699438,2805760,161.18399047851562
1741814501.117685,2826240,171.43563842773438
1741814537.1598241,2846720,171.32952880859375
1741814573.918516,2867200,179.82933044433594
1741814609.7303784,2887680,190.80889892578125
1741814645.7263203,2908160,197.90798950195312
1741814681.7008948,2928640,195.64569091796875
1741814717.5042276,2949120,208.59498596191406
1741814753.4936574,2969600,211.7460174560547
1741814791.370152,2990080,187.77285766601562
1741814827.757109,3010560,220.84539794921875
1741814864.2523263,3031040,224.26382446289062
1741814900.7879844,3051520,202.66006469726562
1741814937.2189662,3072000,205.95091247558594
1741814973.641423,3092480,161.72169494628906
1741815009.8741486,3112960,192.28521728515625
1741815045.9962823,3133440,210.5041961669922
1741815081.995445,3153920,225.93687438964844
1741815118.0139554,3174400,224.3323974609375
1741815153.8502123,3194880,237.13427734375
1741815189.736869,3215360,220.5176544189453
1741815225.4604287,3235840,215.13143920898438
1741815261.1678493,3256320,224.18714904785156
1741815296.8131006,3276800,252.62745666503906
1741815332.4767118,3297280,258.1878662109375
1741815367.9942927,3317760,255.83758544921875
1741815403.4898899,3338240,265.3833312988281
1741815439.106727,3358720,255.5110321044922
1741815474.4650712,3379200,266.1382751464844
1741815509.9260566,3399680,274.2037658691406
1741815546.9033592,3420160,275.044677734375
1741815586.0481784,3440640,-109.61146545410156
1741815625.1121597,3461120,-109.36722564697266
1741815660.2741396,3481600,-71.50495910644531
1741815697.755244,3502080,-105.99557495117188
1741815735.2912009,3522560,-105.10983276367188
1741815772.9105003,3543040,-105.10983276367188
1741815810.2238204,3563520,-105.1117172241211
1741815847.6345768,3584000,-105.99557495117188
1741815885.1620252,3604480,-105.99557495117188
1741815922.670712,3624960,-105.99557495117188
1741815960.3406074,3645440,-105.99557495117188
1741815998.2009876,3665920,-105.99557495117188
1741816035.791868,3686400,-105.99557495117188
1741816073.0931334,3706880,-105.99557495117188
1741816110.494167,3727360,-105.99557495117188
1741816147.9250598,3747840,-105.99557495117188
1741816185.3481724,3768320,-105.99557495117188
1741816222.625644,3788800,-105.99557495117188
1741816259.9701355,3809280,-105.99557495117188
1741816297.3240185,3829760,-105.99557495117188
1741816334.4575994,3850240,-105.99557495117188
1741816371.7481556,3870720,-105.99557495117188
1741816409.0789073,3891200,-105.99557495117188
1741816446.4158185,3911680,-105.99557495117188
1741816483.8660905,3932160,-105.99557495117188
1741816521.26061,3952640,-105.99557495117188
1741816559.0822887,3973120,-105.99557495117188
1741816596.4260828,3993600,-105.99557495117188
1741816633.9009557,4014080,-105.99557495117188
1741816671.2897637,4034560,-105.99557495117188
1741816711.961405,4055040,-105.99557495117188
1741816758.6004252,4075520,-105.99557495117188
1741816805.181609,4096000,-105.99557495117188
1741816851.9878933,4116480,-105.99557495117188
1741816897.9611247,4136960,-105.99557495117188
1741816942.6944501,4157440,-105.99557495117188
1741816987.1652431,4177920,-105.99557495117188
1741817031.8803473,4198400,-105.99557495117188
1741817076.4023888,4218880,-105.99557495117188
1741817121.0658908,4239360,-105.99557495117188
1741817166.2525144,4259840,-105.99557495117188
1741817211.0029738,4280320,-105.99557495117188
1741817256.861802,4300800,-105.99557495117188
1741817301.110701,4321280,-105.99557495117188
1741817345.5974848,4341760,-105.99557495117188
1741817390.3138554,4362240,-105.99557495117188
1741817435.0304482,4382720,-105.99557495117188
1741817479.7260847,4403200,-105.99557495117188
1741817524.3466158,4423680,-105.99557495117188
1741817568.9960845,4444160,-105.99557495117188
1741817613.7249362,4464640,-105.99557495117188
1741817658.5299904,4485120,-105.99557495117188
1741817703.6808658,4505600,-105.99557495117188
1741817749.2505503,4526080,-105.99557495117188
1741817794.8041768,4546560,-105.99557495117188
1741817840.5884855,4567040,-105.99557495117188
1741817886.2367756,4587520,-105.99557495117188
1741817931.8610215,4608000,-105.99557495117188
1741817977.662113,4628480,-105.99557495117188
1741818023.0233057,4648960,-105.99557495117188
1741818068.4058957,4669440,-105.99557495117188
1741818113.865549,4689920,-105.99557495117188
1741818159.3694243,4710400,-105.99557495117188
1741818205.0183892,4730880,-105.99557495117188
1741818250.746803,4751360,-105.99557495117188
1741818296.4564004,4771840,-105.99557495117188
1741818342.1194131,4792320,-105.99557495117188
1741818387.4600542,4812800,-105.99557495117188
1741818433.1419892,4833280,-105.99557495117188
1741818478.951749,4853760,-105.99557495117188
1741818524.8189383,4874240,-105.99557495117188
1741818570.7277691,4894720,-105.99557495117188
1741818616.5857205,4915200,-105.99557495117188
1741818662.545651,4935680,-105.99557495117188
1741818708.4266956,4956160,-105.99557495117188
1741818754.0829506,4976640,-105.99557495117188
1741818799.7454565,4997120,-105.99557495117188
1741818845.5573342,5017600,-105.99557495117188
